framework,module,file,kind,namespace,type,member,signature
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\TrajectoryHelper.cs,class,RCore,TrajectoryHelper,,public static class TrajectoryHelper
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\TrajectoryHelper.cs,class,RCore,ProjectileHelper,,public static class ProjectileHelper
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\TransformHelper.cs,enum,RCore,AnchorType,,public enum AnchorType
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\TransformHelper.cs,class,RCore,TransformExtension,,public static class TransformExtension
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\WebRequestHelper.cs,struct,RCore,IPInfo,,public struct IPInfo
RCore,Common/Helper,Assets\RCore\Main\Runtime\Common\Helper\WebRequestHelper.cs,class,RCore,WebRequestHelper,,public static class WebRequestHelper
RCore,Common/Pool,Assets\RCore\Main\Runtime\Common\Pool\CustomPool.cs,class,RCore,CustomPool,,public class CustomPool<T> where T : Component
RCore,Common/Pool,Assets\RCore\Main\Runtime\Common\Pool\PoolsContainer.cs,class,RCore,PoolsContainer,,public class PoolsContainer<T> where T : Component
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefContainer,,public static class REditorPrefContainer
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPref,,public abstract class REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefBool,,public class REditorPrefBool : REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefInt,,public class REditorPrefInt : REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefFloat,,public class REditorPrefFloat : REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefDateTime,,public class REditorPrefDateTime : REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefString,,public class REditorPrefString : REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefList,,public class REditorPrefList<T> : REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefDict,,"public class REditorPrefDict<TKey, TVal> : REditorPref"
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefObject,,public class REditorPrefObject<T> : REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefSerializableObject,,public class REditorPrefSerializableObject<T> : REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefEnum,,public class REditorPrefEnum<T> : REditorPref where T : System.Enum
RCore,Common,Assets\RCore\Main\Runtime\Common\REditorPrefs.cs,class,RCore,REditorPrefVector,,public class REditorPrefVector : REditorPref
RCore,Common,Assets\RCore\Main\Runtime\Common\RMenu.cs,class,RCore.Service,RMenu,,public static class RMenu
RCore,Common,Assets\RCore\Main\Runtime\Common\RomanNumber.cs,class,RCore,Roman,,public static class Roman
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefContainer,,public static class RPlayerPrefContainer
